team,player,position,dob,nationality
Germany,Antonio Rüdiger,Defence,1993-03-03,Germany
Germany,David Raum,Defence,1998-04-22,Germany
Germany,Nico Schlotterbeck,Defence,1999-12-01,Germany
Germany,Malick Thiaw,Defence,2001-08-08,Germany
Germany,Nathaniel Brown,Defence,2003-06-16,Germany
Germany,Nadiem Amiri,Midfield,1996-10-27,Germany
Germany,Joshua Kimmich,Midfield,1995-02-08,Germany
Germany,Leon Goretzka,Midfield,1995-02-06,Germany
Germany,Pascal Groß,Midfield,1991-06-15,Germany
Germany,Florian Wirtz,Midfield,2003-05-03,Germany
Germany,Felix Kalu Nmecha,Midfield,2000-10-10,Germany
Germany,Angelo Stiller,Midfield,2001-04-04,Germany
Germany,Jamal Musiala,Midfield,2003-02-26,Germany
Germany,Aleksandar Pavlović,Midfield,2004-05-03,Germany
Germany,Assan Ouédraogo,Midfield,2006-05-09,Germany
Germany,Kai Havertz,Offence,1999-06-11,Germany
Germany,Leroy Sané,Offence,1996-01-11,Germany
Germany,Deniz Undav,Offence,1996-07-19,Germany
Germany,Jamie Leweling,Offence,2001-02-26,Germany
Germany,Nick Woltemade,Offence,2002-02-14,Germany
Germany,Maximilian Beier,Offence,2002-10-17,Germany
Spain,David Raya,Goalkeeper,1995-09-15,Spain
Spain,Unai Simón,Goalkeeper,1997-06-11,Spain
Spain,Joan García,Goalkeeper,2001-05-04,Spain
Spain,Aymeric Laporte,Defence,1994-05-27,Spain
Spain,Cucurella,Defence,1998-07-22,Spain
Spain,Alejandro Grimaldo,Defence,1995-09-20,Spain
Spain,Pedro Porro,Defence,1999-09-13,Spain
Spain,Eric García,Defence,2001-01-09,Spain
Spain,Marc Pubill,Defence,2003-06-20,Spain
Spain,Pau Cubarsí,Defence,2007-01-22,Spain
Spain,Fabián Ruiz,Midfield,1996-04-03,Spain
Spain,Marcos Llorente,Midfield,1995-01-30,Spain
Spain,Rodri,Midfield,1996-06-22,Spain
Spain,Mikel Merino,Midfield,1996-06-22,Spain
Spain,Dani Olmo,Midfield,1998-05-07,Spain
Spain,Ferrán Torres,Midfield,2000-02-29,Spain
Spain,Martín Zubimendi,Midfield,1999-02-02,Spain
Spain,Pedri,Midfield,2002-11-25,Spain
Spain,Pablo Gavira,Midfield,2004-08-05,Spain
Spain,Mikel Oyarzabal,Midfield,1997-04-21,Spain
Spain,Álex Baena,Midfield,2001-07-20,Spain
Spain,Borja Iglesias,Offence,1993-01-17,Spain
Spain,Yeremi Pino,Offence,2002-10-20,Spain
Spain,Nico Williams,Offence,2002-07-12,Spain
Spain,Lamine Yamal,Offence,2007-07-13,Spain
Spain,Víctor Muñoz,Offence,2003-07-13,Spain
Paraguay,Gastón Olveira,Goalkeeper,1993-04-21,Paraguay
Paraguay,Roberto Fernández,Goalkeeper,1988-03-29,Paraguay
Paraguay,Orlando Gill,Goalkeeper,2000-06-11,Paraguay
Paraguay,Fabián Balbuena,Defence,1991-08-23,Paraguay
Paraguay,Gustavo Gómez,Defence,1993-05-06,Paraguay
Paraguay,Júnior Alonso,Defence,1993-02-09,Paraguay
Paraguay,Omar Alderete,Defence,1996-12-26,Paraguay
Paraguay,Juan Cáceres,Defence,2000-06-01,Paraguay
Paraguay,Gustavo Velázquez,Defence,1991-04-17,Paraguay
Paraguay,José Canale,Defence,1996-07-20,Paraguay
Paraguay,Alexandro Maidana,Defence,2005-07-26,Paraguay
Paraguay,Andrés Cubas,Midfield,1996-05-11,Paraguay
Paraguay,Kaku,Midfield,1995-01-11,Paraguay
Paraguay,Miguel Almirón,Midfield,1994-02-10,Paraguay
Paraguay,Mauricio,Midfield,2001-06-22,Paraguay
Paraguay,Braian Ojeda,Midfield,2000-06-27,Paraguay
Paraguay,Matías Galarza,Midfield,2002-02-11,Paraguay
Paraguay,Damian Bobadilla,Midfield,2001-07-11,Paraguay
Paraguay,Diego Gómez,Midfield,2003-03-27,Paraguay
Paraguay,Antonio Sanabria,Offence,1996-03-04,Paraguay
Paraguay,Gabriel Ávalos,Offence,1990-10-12,Paraguay
Paraguay,Isidro Pitta,Offence,1999-08-14,Paraguay
Paraguay,Ramón Sosa,Offence,1999-08-31,Paraguay
Paraguay,Julio Enciso,Offence,2004-01-23,Paraguay
Paraguay,Gustavo Caballero,Offence,2001-09-21,Paraguay
Paraguay,Alex Arce,Offence,1995-06-16,Paraguay
Argentina,Géronimo Rulli,Goalkeeper,1992-05-20,Argentina
Argentina,Emiliano Martínez,Goalkeeper,1992-09-02,Argentina
Argentina,Juan Musso,Goalkeeper,1994-05-06,Argentina
Argentina,Nicolás Otamendi,Defence,1988-02-12,Argentina
Argentina,Nicolás Tagliafico,Defence,1992-08-31,Argentina
Argentina,Gonzalo Montiel,Defence,1997-01-01,Argentina
Argentina,Christian Romero,Defence,1998-04-27,Argentina
Argentina,Facundo Medina,Defence,1999-05-28,Argentina
Argentina,Lisandro Martínez,Defence,1998-01-18,Argentina
Argentina,Nahuel Molina,Defence,1998-04-06,Argentina
Argentina,Leonardo Balerdi,Defence,1999-01-26,Argentina
Argentina,Valentin Barco,Defence,2004-07-23,Argentina
Argentina,Rodrigo de Paul,Midfield,1994-05-24,Argentina
Argentina,Leandro Paredes,Midfield,1994-06-29,Argentina
Argentina,Giovani Lo Celso,Midfield,1996-04-09,Argentina
Argentina,Exequiel Palacios,Midfield,1998-10-05,Argentina
Argentina,Alexis Mac Allister,Midfield,1998-12-24,Argentina
Argentina,Thiago Almada,Midfield,2001-04-26,Argentina
Argentina,Enzo Fernández,Midfield,2001-01-17,Argentina
Argentina,Nico Paz,Midfield,2004-09-08,Argentina
Argentina,Lionel Messi,Offence,1987-06-24,Argentina
Argentina,Lautaro Martínez,Offence,1997-08-22,Argentina
Argentina,Nicolás González,Offence,1998-04-06,Argentina
Argentina,Julián Álvarez,Offence,2000-01-31,Argentina
Argentina,José Manuel López,Offence,2000-12-06,Argentina
Argentina,Giuliano Simeone,Offence,2002-12-18,Argentina
Ghana,Lawrence Ati-Zigi,Goalkeeper,1996-11-29,Ghana
Ghana,Joseph Anang,Goalkeeper,2000-06-08,Ghana
Ghana,Benjamin Asare,Goalkeeper,1992-07-13,Ghana
Ghana,Abdul Rahman Baba,Defence,1994-07-02,Ghana
Ghana,Derrick Luckassen,Defence,1995-07-03,Ghana
Ghana,Gideon Mensah,Defence,1998-07-18,Ghana
Ghana,Abdul Mumin,Defence,1998-06-06,Ghana
Ghana,Jerome Opoku,Defence,1998-10-14,Ghana
Ghana,Alidu Seidu,Defence,2000-06-04,Ghana
Ghana,Marvin Senaya,Defence,2001-01-28,Ghana
Ghana,Jonas Adjei Adjetey,Defence,2003-12-13,Ghana
Ghana,Kojo Peprah Oppong,Defence,2004-06-04,Ghana
Ghana,Thomas Partey,Midfield,1993-06-13,Ghana
Ghana,Elisha Owusu,Midfield,1997-11-07,Ghana
Ghana,Kwasi Sibo,Midfield,1998-06-24,Ghana
Ghana,Augustine Boakye,Midfield,2000-11-03,Ghana
Ghana,Caleb Yirenkyi,Midfield,2006-01-15,Ghana
Ghana,Antoine Semenyo,Offence,2000-01-07,Ghana
Ghana,Brandon Thomas-Asante,Offence,1998-12-29,Ghana
Ghana,Jordan Ayew,Offence,1991-09-11,Ghana
Ghana,Iñaki Williams,Offence,1994-06-15,Ghana
Ghana,Kamal Deen Sulemana,Offence,2002-02-15,Ghana
Ghana,Ernest Nuamah,Offence,2003-11-01,Ghana
Ghana,Abdul Issahaku,Offence,2004-03-08,Ghana
Ghana,Christopher Bonsu Baah,Offence,2004-12-14,Ghana
Ghana,Prince Adu,Offence,2003-09-23,Ghana
Brazil,Weverton,Goalkeeper,1987-12-13,Brazil
Brazil,Alisson Becker,Goalkeeper,1992-10-02,Brazil
Brazil,Ederson,Goalkeeper,1993-08-17,Brazil
Brazil,Roger Ibañez,Defence,1998-11-23,Brazil
Brazil,Bremer,Defence,1997-03-18,Brazil
Brazil,Alex Sandro,Defence,1991-01-26,Brazil
Brazil,Marquinhos,Defence,1994-05-14,Brazil
Brazil,Douglas Santos,Defence,1994-03-22,Brazil
Brazil,Danilo Luiz da Silva,Defence,1991-07-15,Brazil
Brazil,Léo Pereira,Defence,1996-01-31,Brazil
Brazil,Gabriel Magalhães,Defence,1997-12-19,Brazil
Brazil,Wesley,Defence,2003-09-06,Brazil
Brazil,Lucas Paquetá,Midfield,1997-08-27,Brazil
Brazil,Bruno Guimarães,Midfield,1997-11-16,Brazil
Brazil,Casemiro,Midfield,1992-02-23,Brazil
Brazil,Fabinho,Midfield,1993-10-23,Brazil
Brazil,Danilo dos Santos de Oliveira,Midfield,2001-04-29,Brazil
Brazil,Vinicius Junior,Offence,2000-07-12,Brazil
Brazil,Neymar,Offence,1992-02-05,Brazil
Brazil,Matheus Cunha,Offence,1999-05-27,Brazil
Brazil,Raphinha,Offence,1996-12-14,Brazil
Brazil,Martinelli,Offence,2001-06-18,Brazil
Brazil,Thiago,Offence,2001-06-26,Brazil
Brazil,Luiz Henrique,Offence,2001-01-02,Brazil
Brazil,Endrick,Offence,2006-07-21,Brazil
Brazil,Rayan,Offence,2006-08-03,Brazil
Portugal,José Sá,Goalkeeper,1993-01-17,Portugal
Portugal,Rui Silva,Goalkeeper,1994-02-07,Portugal
Portugal,Diogo Costa,Goalkeeper,1999-09-19,Portugal
Portugal,João Cancelo,Defence,1994-05-27,Portugal
Portugal,Rúben Dias,Defence,1997-05-14,Portugal
Portugal,Nélson Semedo,Defence,1993-11-16,Portugal
Portugal,Diogo Dalot,Defence,1999-03-18,Portugal
Portugal,Matheus Nunes,Defence,1998-08-27,Portugal
Portugal,Nuno Mendes,Defence,2002-06-19,Portugal
Portugal,Gonçalo Inácio,Defence,2001-08-25,Portugal
Portugal,Tomas Araujo,Defence,2002-05-16,Portugal
Portugal,Renato Veiga,Defence,2003-07-29,Portugal
Portugal,Bernardo Silva,Midfield,1994-08-10,Portugal
Portugal,Rúben Neves,Midfield,1997-03-13,Portugal
Portugal,Bruno Fernandes,Midfield,1994-09-08,Portugal
Portugal,Gonçalo Guedes,Midfield,1996-11-29,Portugal
Portugal,Samuel Almeida Costa,Midfield,2000-11-27,Portugal
Portugal,Vitinha,Midfield,2000-02-13,Portugal
Portugal,Joao Neves,Midfield,2004-09-27,Portugal
Portugal,Cristiano Ronaldo,Offence,1985-02-05,Portugal
Portugal,Pedro Neto,Offence,2000-03-09,Portugal
Portugal,Rafael Leão,Offence,1999-06-10,Portugal
Portugal,Trincão,Offence,1999-12-29,Portugal
Portugal,João Félix,Offence,1999-11-10,Portugal
Portugal,Gonçalo Ramos,Offence,2001-06-20,Portugal
Portugal,Francisco Conceição,Offence,2002-12-14,Portugal
Japan,Keisuke Ōsako,Goalkeeper,1999-07-28,Japan
Japan,Zion Suzuki,Goalkeeper,2002-08-21,Japan
Japan,Tomoki Hayakawa,Goalkeeper,1999-03-03,Japan
Japan,Yūto Nagatomo,Defence,1986-09-12,Japan
Japan,Takehiro Tomiyasu,Defence,1998-11-05,Japan
Japan,Hiroki Ito,Defence,1999-05-12,Japan
Japan,Yukinari Sugawara,Defence,2000-06-28,Japan
Japan,Ko Itakura,Defence,1997-01-27,Japan
Japan,Shogo Taniguchi,Defence,1991-07-15,Japan
Japan,Ayumu Seko,Defence,2000-06-07,Japan
Japan,Tsuyoshi Watanabe,Defence,1997-02-05,Japan
Japan,Junnosuke Suzuki,Defence,2003-07-12,Japan
Japan,Wataru Endō,Midfield,1993-02-09,Japan
Japan,Daichi Kamada,Midfield,1996-08-05,Japan
Japan,Takefusa Kubo,Midfield,2001-06-04,Japan
Japan,Keito Nakamura,Midfield,2000-07-28,Japan
Japan,Ao Tanaka,Midfield,1998-09-10,Japan
Japan,Kaishu Sano,Midfield,2000-12-30,Japan
Japan,Yuito Suzuki,Midfield,2001-10-25,Japan
Japan,Ritsu Doan,Offence,1998-06-16,Japan
Japan,Daizen Maeda,Offence,1997-10-20,Japan
Japan,Koki Ogawa,Offence,1997-08-08,Japan
Japan,Junya Ito,Offence,1993-03-09,Japan
Japan,Ayase Ueda,Offence,1998-08-28,Japan
Japan,Kento Shiogai,Offence,2005-03-26,Japan
Japan,Keisuke Goto,Offence,2005-06-03,Japan
Mexico,Guillermo Ochoa,Goalkeeper,1985-07-13,Mexico
Mexico,Carlos Acevedo,Goalkeeper,1996-04-19,Mexico
Mexico,José Rangel,Goalkeeper,2000-02-25,Mexico
Mexico,Jesús Gallardo,Defence,1994-08-15,Mexico
Mexico,César Montes,Defence,1997-02-24,Mexico
Mexico,Johan Vásquez,Defence,1998-10-22,Mexico
Mexico,Jorge Sánchez,Defence,1997-12-10,Mexico
Mexico,Israel Reyes,Defence,2000-05-23,Mexico
Mexico,Mateo Chávez,Defence,2004-05-12,Mexico
Mexico,Edson Álvarez,Midfield,1997-10-24,Mexico
Mexico,Orbelín Pineda,Midfield,1996-03-24,Mexico
Mexico,Luis Chávez,Midfield,1996-01-15,Mexico
Mexico,Luis Romo,Midfield,1995-06-05,Mexico
Mexico,Erik Lira,Midfield,2000-05-08,Mexico
Mexico,Álvaro Fidalgo,Midfield,1997-04-09,Spain
Mexico,Brian Gutiérrez,Midfield,2003-06-17,Mexico
Mexico,Obed Vargas,Midfield,2005-08-05,Mexico
Mexico,Gilberto Mora,Midfield,2008-10-14,Mexico
Mexico,Raúl Jiménez,Offence,1991-05-05,Mexico
Mexico,Julián Quiñones,Offence,1997-03-24,Colombia
Mexico,Roberto Alvarado,Offence,1998-09-07,Mexico
Mexico,Santiago Giménez,Offence,2001-04-18,Mexico
Mexico,Alexis Vega,Offence,1997-11-25,Mexico
Mexico,Guillermo Martínez,Offence,1995-03-15,Mexico
Mexico,César Huerta,Offence,2000-12-03,Mexico
Mexico,Armando González,Offence,2003-04-20,Mexico
England,Jordan Pickford,Goalkeeper,1994-03-07,England
England,Dean Henderson,Goalkeeper,1997-03-12,England
England,James Trafford,Goalkeeper,2002-10-10,England
England,John Stones,Defence,1994-05-28,England
England,Dan Burn,Defence,1992-05-09,England
England,Ezri Konsa,Defence,1997-10-23,England
England,Trevoh Chalobah,Defence,1999-07-05,England
England,Reece James,Defence,1999-12-08,England
England,Djed Spence,Defence,2000-08-09,England
England,Marc Guéhi,Defence,2000-07-13,England
England,Jarell Quansah,Defence,2003-01-29,England
England,Nico O'Reilly,Defence,2005-03-21,England
England,Jordan Henderson,Midfield,1990-06-17,England
England,Eberechi Eze,Midfield,1998-06-29,England
England,Anthony Gordon,Midfield,2001-02-24,England
England,Declan Rice,Midfield,1999-01-14,England
England,Morgan Rogers,Midfield,2002-07-26,England
England,Elliot Anderson,Midfield,2002-11-06,England
England,Jude Bellingham,Midfield,2003-06-29,England
England,Kobbie Mainoo,Midfield,2005-04-19,England
England,Marcus Rashford,Offence,1997-10-31,England
England,Ollie Watkins,Offence,1995-12-30,England
England,Ivan Toney,Offence,1996-03-16,England
England,Harry Kane,Offence,1993-07-28,England
England,Bukayo Saka,Offence,2001-09-05,England
England,Noni Madueke,Offence,2002-03-10,England
United States,Matt Turner,Goalkeeper,1994-06-24,USA
United States,Matt Freese,Goalkeeper,1998-09-02,USA
United States,Chris Brady,Goalkeeper,2004-03-03,USA
United States,Antonee Robinson,Defence,1997-08-08,USA
United States,Tim Ream,Defence,1987-10-05,USA
United States,Miles Robinson,Defence,1997-03-14,USA
United States,Auston Trusty,Defence,1998-08-12,USA
United States,Mark McKenzie,Defence,1999-02-25,USA
United States,Joseph Scally,Defence,2002-12-31,USA
United States,Sergiño Dest,Defence,2000-11-03,USA
United States,Chris Richards,Defence,2000-03-28,USA
United States,Alex Freeman,Defence,2004-08-09,USA
United States,Weston McKennie,Midfield,1998-08-28,USA
United States,Alejandro Zendejas,Midfield,1998-02-07,USA
United States,Cristian Roldan,Midfield,1995-06-03,USA
United States,Tyler Adams,Midfield,1999-02-14,USA
United States,Brenden Aaronson,Midfield,2000-10-22,USA
United States,Gio Reyna,Midfield,2002-11-13,USA
United States,Sebastian Berhalter,Midfield,2001-05-17,USA
United States,Malik Tillman,Midfield,2002-05-28,USA
United States,Christian Pulisic,Offence,1998-09-18,USA
United States,Tim Weah,Offence,2000-02-22,USA
United States,Haji Wright,Offence,1998-03-27,USA
United States,Ricardo Pepi,Offence,2003-01-09,USA
United States,Folarin Balogun,Offence,2001-07-03,USA
United States,Max Arfsten,Offence,2001-04-19,USA
South Korea,Seung-Gyu Kim,Goalkeeper,1990-09-30,South Korea
South Korea,Bum-keun Song,Goalkeeper,1997-10-15,South Korea
South Korea,Hyeon-woo Jo,Goalkeeper,1991-09-25,South Korea
South Korea,Min-Jae Kim,Defence,1996-11-15,South Korea
South Korea,Moon-hwan Kim,Defence,1995-08-01,South Korea
South Korea,Han-bum Lee,Defence,2002-06-17,South Korea
South Korea,Young-woo Seol,Defence,1998-12-05,South Korea
South Korea,Jin-seob Park,Defence,1995-10-23,South Korea
South Korea,Tae-hyeon Kim,Defence,2000-09-17,South Korea
South Korea,Gi-hyuk Lee,Defence,2000-07-07,South Korea
South Korea,Tae-seok Lee,Defence,2002-07-28,South Korea
South Korea,Cho Wi-Je,Defence,2001-08-25,South Korea
South Korea,Jens Castrop,Midfield,2003-07-29,South Korea
South Korea,In-beom Hwang,Midfield,1996-09-20,South Korea
South Korea,Dong-gyeong Lee,Midfield,1997-09-20,South Korea
South Korea,Jae-sung Lee,Midfield,1992-08-10,South Korea
South Korea,Jin-Gyu Kim,Midfield,1997-02-24,South Korea
South Korea,Seung-Ho Paik,Midfield,1997-03-17,South Korea
South Korea,Kang-in Lee,Midfield,2001-02-19,South Korea
South Korea,Joon-ho Bae,Midfield,2003-08-21,South Korea
South Korea,Hwang Heechan,Offence,1996-01-26,South Korea
South Korea,Heung-min Son,Offence,1992-07-08,South Korea
South Korea,Hyun-jun Yang,Offence,2002-05-25,South Korea
South Korea,Gue-Sung Cho,Offence,1998-01-25,South Korea
South Korea,Hyun-Gyu Oh,Offence,2001-04-12,South Korea
South Korea,Ji-sung Eom,Offence,2002-05-09,South Korea
France,Brice Samba,Goalkeeper,1994-04-25,France
France,Mike Maignan,Goalkeeper,1995-07-03,France
France,Robin Risser,Goalkeeper,2004-12-02,France
France,Theo Hernández,Defence,1997-10-06,France
France,Lucas Digne,Defence,1993-07-20,France
France,Lucas Hernández,Defence,1996-02-14,France
France,Jules Koundé,Defence,1998-11-12,France
France,Dayot Upamecano,Defence,1998-10-27,France
France,Ibrahima Konaté,Defence,1999-05-25,France
France,William Saliba,Defence,2001-03-24,France
France,Maxence Lacroix,Defence,2000-04-06,France
France,Malo Gusto,Defence,2003-05-19,France
France,N'Golo Kanté,Midfield,1991-03-29,France
France,Adrien Rabiot,Midfield,1995-04-03,France
France,Aurélien Tchouameni,Midfield,2000-01-27,France
France,Manu Koné,Midfield,2001-05-17,France
France,Rayan Cherki,Midfield,2003-08-17,France
France,Maghnes Akliouche,Midfield,2002-02-25,France
France,Desire Doue,Midfield,2005-06-03,France
France,Warren Zaïre-Emery,Midfield,2006-03-08,France
France,Jean-Philippe Mateta,Offence,1997-06-28,France
France,Ousmane Dembélé,Offence,1997-05-15,France
France,Kylian Mbappé,Offence,1998-12-20,France
France,Marcus Thuram-Ulien,Offence,1997-08-06,France
France,Michael Olise,Offence,2001-12-12,France
France,Bradley Barcola,Offence,2002-09-02,France
South Africa,Ronwen Williams,Goalkeeper,1992-01-21,South Africa
South Africa,Sipho Chaine,Goalkeeper,1996-12-14,South Africa
South Africa,Ricardo Goss,Goalkeeper,1994-04-02,South Africa
South Africa,Aubrey Modiba,Defence,1995-07-22,South Africa
South Africa,Nkosinathi Sibisi,Defence,1995-09-22,South Africa
South Africa,Khuliso Mudau,Defence,1995-04-26,South Africa
South Africa,Olwethu Makhanya,Defence,2004-04-30,South Africa
South Africa,Bradley Cross,Defence,2001-01-30,South Africa
South Africa,Samukelo Kabini,Defence,2004-03-15,South Africa
South Africa,Ime Okon,Defence,2004-02-20,South Africa
South Africa,Mbekezeli Mbokazi,Defence,2005-09-19,South Africa
South Africa,Khulumani Ndamane,Defence,2004-02-05,South Africa
South Africa,Tholo Matuludi,Defence,1999-01-14,South Africa
South Africa,Themba Zwane,Midfield,1989-08-03,South Africa
South Africa,Teboho Mokoena,Midfield,1997-01-24,South Africa
South Africa,Sphephelo Sithole,Midfield,1999-03-03,South Africa
South Africa,Jayden Adams,Midfield,2001-05-05,South Africa
South Africa,Thapelo Maseko,Midfield,2003-11-11,South Africa
South Africa,Thalente Mbatha,Midfield,2000-03-06,South Africa
South Africa,Kamogelo Sebelebele,Midfield,2002-07-21,South Africa
South Africa,Lyle Foster,Offence,2000-09-04,South Africa
South Africa,Oswin Appollis,Offence,2001-08-25,South Africa
South Africa,Iqraam Rayners,Offence,1995-12-19,South Africa
South Africa,Evidence Makgopa,Offence,2000-06-05,South Africa
South Africa,Relebohile Mofokeng,Offence,2004-10-23,South Africa
South Africa,Tshepang Moremi,Offence,2000-10-02,South Africa
Algeria,Luca Zidane,Goalkeeper,1998-05-13,Algeria
Algeria,Oussama Benbout,Goalkeeper,1994-10-11,Algeria
Algeria,Melvin Mastil,Goalkeeper,2000-02-19,France
Algeria,Aïssa Mandi,Defence,1991-10-22,Algeria
Algeria,Rayan Aït Nouri,Defence,2001-06-06,Algeria
Algeria,Ramy Bensebaini,Defence,1995-04-16,Algeria
Algeria,Samir Chergui,Defence,1999-02-06,Algeria
Algeria,Jaouen Hadjam,Defence,2003-03-26,Algeria
Algeria,Rafik Belghali,Defence,2002-06-07,Algeria
Algeria,Zinédine Belaïd,Defence,1999-03-20,Algeria
Algeria,Amine Tougai,Defence,2000-01-22,Algeria
Algeria,Achref Abada,Defence,1999-06-15,Algeria
Algeria,Nabil Bentaleb,Midfield,1994-11-24,Algeria
Algeria,Houssem Aouar,Midfield,1998-06-30,Algeria
Algeria,Hicham Boudaoui,Midfield,1999-09-23,Algeria
Algeria,Ramiz Zerrouki,Midfield,1998-05-26,Algeria
Algeria,Fares Chaïbi,Midfield,2002-11-28,Algeria
Algeria,Ibrahim Maza,Midfield,2005-11-24,Algeria
Algeria,Yacine Titraoui,Midfield,2003-07-26,Algeria
Algeria,Adil Boulbina,Midfield,2003-05-02,Algeria
Algeria,Riyad Mahrez,Offence,1991-02-21,Algeria
Algeria,Amine Gouiri,Offence,2000-02-16,Algeria
Algeria,Mohammed Amoura,Offence,2000-05-09,Algeria
Algeria,Nadhir Benbouali,Offence,2000-04-17,Algeria
Algeria,Anis Moussa,Offence,2002-02-11,Algeria
Algeria,Farés Ghedjemis,Offence,2002-09-06,Algeria
Australia,Maty Ryan,Goalkeeper,1992-04-08,Australia
Australia,Paul Izzo,Goalkeeper,1995-01-06,Australia
Australia,Patrick Beach,Goalkeeper,2003-08-06,Australia
Australia,Aziz Behich,Defence,1990-12-16,Australia
Australia,Miloš Degenek,Defence,1994-04-28,Australia
Australia,Kai Trewin,Defence,2001-05-18,Australia
Australia,Jacob Italiano,Defence,2001-07-30,Australia
Australia,Cameron Burgess,Defence,1995-10-21,Australia
Australia,Harry Souttar,Defence,1998-10-22,Australia
Australia,Jason Geria,Defence,1993-05-10,Australia
Australia,Jordan Bos,Defence,2002-10-29,Australia
Australia,Alessandro Circati,Defence,2003-10-10,Australia
Australia,Lucas Herrington,Defence,2007-09-05,Australia
Australia,Mathew Leckie,Midfield,1991-02-04,Australia
Australia,Jackson Irvine,Midfield,1993-03-07,Australia
Australia,Connor Metcalfe,Midfield,1999-11-05,Australia
Australia,Ajdin Hrustic,Midfield,1996-07-05,Australia
Australia,Aiden O'Neill,Midfield,1998-07-04,Australia
Australia,Awer Mabil,Midfield,1995-09-15,Australia
Australia,Cameron Devlin,Midfield,1998-06-07,Australia
Australia,Paul Okon-Engstler,Midfield,2005-01-24,Australia
Australia,Mohamed Toure,Offence,2004-03-26,Australia
Australia,Nishan Velupillay,Offence,2001-05-07,Australia
Australia,Cristian Volpato,Offence,2003-11-15,Italy
Australia,Nestor Irankunda,Offence,2006-02-09,Australia
Australia,Tete Yengi,Offence,2000-11-28,Australia
New Zealand,Max Crocombe,Goalkeeper,1993-08-12,New Zealand
New Zealand,Michael Woud,Goalkeeper,1999-01-16,New Zealand
New Zealand,Alex Paulsen,Goalkeeper,2002-07-04,New Zealand
New Zealand,Liberato Cacace,Defence,2000-09-27,New Zealand
New Zealand,Tommy Smith,Defence,1990-03-31,New Zealand
New Zealand,Michael Boxall,Defence,1988-08-18,New Zealand
New Zealand,Francis De Vries,Defence,1994-11-28,New Zealand
New Zealand,Callan Elliot,Defence,1999-07-07,New Zealand
New Zealand,Tim Payne,Defence,1994-01-10,New Zealand
New Zealand,Nando Pijnaker,Defence,1999-02-25,New Zealand
New Zealand,Finn Surman,Defence,2003-09-23,New Zealand
New Zealand,Tyler Bindon,Defence,2005-01-27,New Zealand
New Zealand,Alex Rufer,Midfield,1996-06-12,New Zealand
New Zealand,Sarpreet Singh,Midfield,1999-02-20,New Zealand
New Zealand,Ryan Thomas,Midfield,1994-12-20,New Zealand
New Zealand,Callum McCowatt,Midfield,1999-04-30,New Zealand
New Zealand,Joe Bell,Midfield,1999-04-27,New Zealand
New Zealand,Marko Stamenic,Midfield,2002-02-19,New Zealand
New Zealand,Ben Old,Midfield,2002-08-13,New Zealand
New Zealand,Kosta Barbarouses,Offence,1990-02-19,New Zealand
New Zealand,Logan Rogerson,Offence,1998-05-28,New Zealand
New Zealand,Chris Wood,Offence,1991-12-07,New Zealand
New Zealand,Ben Waine,Offence,2001-06-11,New Zealand
New Zealand,Elijah Just,Offence,2000-05-01,New Zealand
New Zealand,Lachlan Bayliss,Offence,2002-07-24,New Zealand
New Zealand,Jesse Randall,Offence,2002-08-19,New Zealand
